Time,Accel x[m/s^2],Accel y[m/s^2],Accel z[m/s^2],Spin x[degrees/sec],Spin z[degrees/sec],Spin y[degrees/sec],,,,,,12:53:38:00,0,0,0,0,0,0
 11:50:19:340510,-0.0293,-0.0156,0,-0.2441,0.5493,26.3062,,,,,,,,,,,,
 11:50:19:440423,-0.0542,0.0249,0,-7.3853,3.2349,24.353,,,,,,,,,,,,
 11:50:19:540320,-0.0347,0.0342,0,2.1973,0.8545,26.6113,,,,,,,,,,,,
 11:50:19:640390,-0.0405,-0.0229,0,1.0986,0.5493,24.1089,,,,,,,,,,,,
 11:50:19:740323,-0.0205,-0.0278,0,-5.8594,-1.5259,23.4985,,,,,,,,,,,,
 11:50:19:840044,-0.0132,-0.0054,0,0.9155,-3.7842,17.5171,,,,,,,,,,,,
 11:50:19:939939,-0.0376,-0.0347,0,-10.9863,-1.1597,16.1133,,,,,,,,,,,,
 11:50:20:039848,-0.0342,0.0522,0,4.6997,-6.3477,19.104,,,,,,,,,,,,
 11:50:20:139782,-0.0464,-0.0024,0,-2.1362,-0.1831,20.4468,,,,,,,,,,,,
 11:50:20:239625,0.022,-0.0239,0,-5.7373,5.9814,17.395,,,,,,,,,,,,
 11:50:20:339538,-0.0298,-0.0352,0,1.5869,-3.6621,17.5781,,,,,,,,,,,,
 11:50:20:439468,-0.0127,-0.0151,0,1.8921,-3.9062,16.1743,,,,,,,,,,,,
 11:50:20:539358,-0.0229,-0.0361,0,-1.2817,2.7466,14.9536,,,,,,,,,,,,
 11:50:20:639240,-0.0137,-0.0107,0,1.3428,-1.0376,15.625,,,,,,,,,,,,
 11:50:20:739143,-0.0127,-0.0312,0,-2.6855,-0.1221,14.2822,,,,,,,,,,,,
 11:50:20:839036,-0.0264,-0.0029,0,-8.3008,3.9062,16.1743,,,,,,,,,,,,
 11:50:20:938942,-0.0469,-0.0376,0,1.8921,1.2207,18.6768,,,,,,,,,,,,
 11:50:21:038842,-0.0654,-0.0234,0,-2.3193,2.7466,19.2261,,,,,,,,,,,,
 11:50:21:138742,-0.0635,-0.0469,0,1.2207,-2.4414,16.1133,,,,,,,,,,,,
 11:50:21:238649,-0.0513,0.0093,0,-10.437,8.9111,10.0708,,,,,,,,,,,,
 11:50:21:340306,-0.0332,-0.0132,0,5.4321,-4.3335,15.625,,,,,,,,,,,,
 11:50:21:438480,-0.0679,-0.0449,0,-9.3384,3.1128,12.5122,,,,,,,,,,,,
 11:50:21:538373,-0.0225,0.0225,0,-0.5493,-0.3052,14.4653,,,,,,,,,,,,
 11:50:21:638262,-0.0566,-0.0112,0,5.3711,3.3569,13.1836,,,,,,,,,,,,
 11:50:21:738158,-0.0547,-0.0093,0,-2.8076,0.3052,13.2446,,,,,,,,,,,,
 11:50:21:838060,-0.0088,0.0068,0,4.0894,-8.606,23.4375,,,,,,,,,,,,
 11:50:21:937965,-0.0518,0.0024,0,0.9155,0.9766,20.2637,,,,,,,,,,,,
 11:50:22:037863,-0.0479,0.0083,0,2.1362,-4.3335,24.5361,,,,,,,,,,,,
 11:50:22:137756,-0.0815,-0.0596,0,-9.3384,2.7466,20.9351,,,,,,,,,,,,
 11:50:22:237661,-0.0273,0.0415,0,3.2959,-1.4038,23.9868,,,,,,,,,,,,
 11:50:22:337563,-0.0688,-0.041,0,14.2822,-2.8687,20.1416,,,,,,,,,,,,
 11:50:22:437485,-0.0532,-0.0151,0,-16.3574,17.2729,26.6113,,,,,,,,,,,,
 11:50:22:537357,-0.1348,0.0542,0,-23.6206,8.667,26.4282,,,,,,,,,,,,
 11:50:22:637259,-0.0889,0.0259,0,5.3101,-6.0425,23.0713,,,,,,,,,,,,
 11:50:22:737150,-0.0933,-0.0083,0,-7.3242,0.9155,26.4282,,,,,,,,,,,,
 11:50:22:837186,-0.0864,0.0405,0,0.4272,-3.1128,26.062,,,,,,,,,,,,
 11:50:22:936953,-0.0806,0,0,-1.0986,2.8076,22.0337,,,,,,,,,,,,
 11:50:23:036842,-0.062,0.0771,0,-1.0376,15.564,23.8037,,,,,,,,,,,,
 11:50:23:136735,-0.1064,-0.0405,0,0.1831,-2.1973,31.25,,,,,,,,,,,,
 11:50:23:236625,-0.0303,0.0229,0,-0.1831,0.4272,31.3721,,,,,,,,,,,,
 11:50:23:336522,-0.0728,0.0005,0,-0.6104,-2.1362,29.2358,,,,,,,,,,,,
 11:50:23:436444,-0.0869,-0.0024,0,-12.6953,-1.3428,22.8271,,,,,,,,,,,,
 11:50:23:536332,-0.0708,-0.0503,0,-12.6343,0.9766,22.7661,,,,,,,,,,,,
 11:50:23:636214,-0.0566,0.0068,0,-1.0376,-2.2583,20.3247,,,,,,,,,,,,
 11:50:23:736137,-0.0366,0.0239,0,1.8921,-0.2441,23.0713,,,,,,,,,,,,
 11:50:23:836022,-0.0635,-0.0244,0,1.2207,-0.6714,23.3154,,,,,,,,,,,,
 11:50:23:935909,-0.0508,0.0024,0,-1.8921,4.1504,26.8555,,,,,,,,,,,,
 11:50:24:035818,-0.0474,-0.0527,0,8.728,-5.188,20.6299,,,,,,,,,,,,
 11:50:24:135702,-0.1133,-0.0845,0,-14.7095,-0.4272,14.6484,,,,,,,,,,,,
 11:50:24:235599,-0.0005,0.0337,0,-0.3052,-1.77,19.4092,,,,,,,,,,,,
 11:50:24:335500,-0.0684,-0.0591,0,2.8687,-3.7842,14.5874,,,,,,,,,,,,
 11:50:24:435390,-0.0605,-0.0405,0,-5.249,0.1831,16.7236,,,,,,,,,,,,
 11:50:24:535278,-0.0645,-0.062,0,-3.2959,-4.5776,13.3057,,,,,,,,,,,,
 11:50:24:635200,-0.0063,-0.0156,0,-6.0425,-3.479,14.7095,,,,,,,,,,,,
 11:50:24:735087,-0.0186,-0.0283,0,3.2959,-0.4272,15.4419,,,,,,,,,,,,
 11:50:24:834979,-0.0376,-0.0317,0,-0.4883,6.1646,15.3809,,,,,,,,,,,,
 11:50:24:934859,-0.0005,0.0342,0,-4.2114,1.0376,20.6299,,,,,,,,,,,,
 11:50:25:034782,-0.0352,-0.0234,0,6.4697,5.6763,16.6626,,,,,,,,,,,,
 11:50:25:134918,-0.0791,-0.0493,0,-3.9673,2.7466,18.1885,,,,,,,,,,,,
 11:50:25:234585,-0.0854,-0.0864,0,8.3618,-4.2114,9.1553,,,,,,,,,,,,
 11:50:25:334451,-0.0376,-0.0435,0,-9.0942,-0.9155,12.5122,,,,,,,,,,,,
 11:50:25:434425,-0.0371,-0.0752,0,9.9487,-2.3804,9.7656,,,,,,,,,,,,
 11:50:25:534246,-0.0791,-0.0884,0,-2.7466,-0.6104,10.8032,,,,,,,,,,,,
 11:50:25:634129,-0.0127,0.001,0,-4.2725,-0.8545,11.1694,,,,,,,,,,,,
 11:50:25:734066,-0.0811,-0.0117,0,5.3711,-9.2163,11.5356,,,,,,,,,,,,
 11:50:25:833916,0.0542,-0.0933,0,12.9395,-10.7422,6.7139,,,,,,,,,,,,
 11:50:25:933796,-0.0049,-0.0542,0,-11.4746,-1.709,7.9346,,,,,,,,,,,,
 11:50:26:033699,0.0469,0.0386,0,-3.6011,-4.8828,7.2632,,,,,,,,,,,,
 11:50:26:133590,-0.0312,-0.0967,0,-8.667,-23.0713,8.1787,,,,,,,,,,,,
 11:50:26:233489,0.0732,-0.0688,0,-30.5786,-82.9468,14.2212,,,,,,,,,,,,
 11:50:26:333383,0.21,-0.1543,0,-19.165,-86.2427,2.6245,,,,,,,,,,,,
 11:50:26:433302,0.3354,-0.1147,0,-4.8218,-39.5508,-11.9629,,,,,,,,,,,,
 11:50:26:533206,0.3857,-0.1558,0,5.5542,-27.2217,-7.7515,,,,,,,,,,,,
 11:50:26:633126,0.3208,-0.1978,0,-11.7188,-48.2178,-2.9297,,,,,,,,,,,,
