Time,Spin x[degrees/sec],Accel x[m/s^2],Spin y[degrees/sec],Accel y[m/s^2],Spin z[degrees/sec],Accel z[m/s^2],,,,
89,1.821350098,-0.776312256,-5.298812866,-0.055987549,15.42539978,-1.963769531,,,,12:53:34:868053
90,1.1484375,-0.775457764,-4.589263916,-0.01315918,16.9790802,-1.94052124,,,,12:53:35:058240
91,1.726394653,-0.772479248,-1.152923584,0.008831787,13.15394592,-1.96675415,,,,12:53:35:248063
92,0.852355957,-0.764337158,-3.268859863,0.043603516,11.99728394,-1.94263916,,,,12:53:35:438425
93,1.723403931,-0.732678223,2.900253296,0.045721436,6.798660278,-1.159387207,,,,12:53:35:622910
94,2.901000977,-0.717218018,-1.244140625,-0.009527588,2.141357422,-0.79487915,,,,12:53:35:812392
95,3.413909912,-0.718225098,-1.680038452,-0.017681885,3.640457153,-1.972711182,,,,12:53:36:002749
96,2.588470459,-0.730371094,-1.077407837,-0.027124023,5.276382446,-1.574365234,,,,12:53:36:191903
97,-0.351409912,-0.797717285,1.848266602,-0.035894775,6.235656738,-1.558325195,,,,12:53:36:381852
98,5.825927734,-0.81875,-0.871047974,0.00892334,6.688751221,-1.931347656,,,,12:53:36:567443
99,3.061004639,-0.806616211,-0.651229858,0.003942871,5.182922363,-1.959069824,,,,12:53:36:756873
100,3.858032227,-0.757232666,-2.145095825,-0.01651001,2.241546631,-1.947186279,,,,12:53:36:946614
101,2.212387085,-0.720410156,1.781723022,-0.050280762,-0.577957153,-1.975640869,,,,12:53:37:136234
102,1.235168457,-0.744921875,-0.734222412,-0.08793335,-1.217224121,-1.96862793,,,,12:53:37:321606
103,0.640014648,-0.773718262,0.285614014,-0.092889404,1.881912231,-1.96038208,,,,12:53:37:516665
104,-0.342437744,-0.793719482,1.071426392,-0.097473145,6.2371521,-0.791644287,,,,12:53:37:703350
105,2.054626465,-0.770794678,-5.395263672,-0.084381104,9.437225342,-1.964221191,,,,12:53:37:893217
106,1.625457764,-0.751824951,-1.814620972,-0.022167969,12.0645752,-1.571081543,,,,12:53:38:078731
107,3.758590698,-0.770574951,-3.420639038,-0.067077637,8.723190308,-1.969708252,,,,12:53:38:269459
108,2.525665283,-0.817327881,-3.795227051,-0.065240479,12.5901947,-1.934393311,,,,12:53:38:469560
109,0.311035156,-0.823577881,-1.730133057,-0.043414307,10.2507019,-1.94510498,,,,12:53:38:655135
110,1.567138672,-0.821972656,-0.863571167,-0.051739502,8.911605835,-1.954400635,,,,12:53:38:845243
111,0.183181763,-0.830645752,-2.642303467,-0.062896729,10.42341614,-1.961627197,,,,12:53:39:034159
112,0.278884888,-0.819830322,-2.265472412,-0.025506592,10.73445129,-1.932165527,,,,12:53:39:223643
113,-0.63104248,-0.829748535,2.664733887,-0.008746338,9.66078186,-1.939251709,,,,12:53:39:409891
114,0.752914429,-0.815856934,1.152175903,0.004486084,5.334701538,-1.958679199,,,,12:53:39:610760
115,-1.016098022,-0.805895996,-0.31477356,-0.00256958,2.765670776,-1.955609131,,,,12:53:39:795738
116,0.43963623,-0.81239624,0.197387695,-0.009143066,0.301315308,-1.954284668,,,,12:53:39:985268
117,-0.508422852,-0.817059326,-1.431060791,-0.013482666,1.01385498,-1.959436035,,,,12:53:40:176919
118,-0.40524292,-0.81998291,-0.069534302,-0.016436768,0.282623291,-1.93248291,,,,12:53:40:365048
119,-0.527114868,-0.818029785,2.789596558,-0.01338501,0.447113037,-1.946673584,,,,12:53:40:580447
120,0.702819824,-0.804193115,3.419891357,-0.003039551,0.412719727,-1.949804688,,,,12:53:40:772569
121,-0.137573242,-0.796881104,0.791046143,-0.014892578,0.442626953,-1.976391602,,,,12:53:40:962900
122,-0.808242798,-0.792932129,-1.209747314,-0.005664063,0.586181641,-1.961224365,,,,12:53:41:150971
123,-0.456085205,-0.800958252,-2.310333252,-0.000891113,0.468795776,-1.944567871,,,,12:53:41:341738
124,0.817214966,-0.801318359,1.653869629,0.003216553,0.497955322,-1.952947998,,,,12:53:41:536663
125,-0.344680786,-0.800415039,-1.173858643,-0.003387451,0.260192871,-1.960467529,,,,12:53:41:739275
126,0.351409912,-0.809588623,-1.45199585,0.002087402,-0.179443359,-1.945074463,,,,12:53:41:930819
127,-0.30430603,-0.814050293,-0.685623169,0.000646973,0.211593628,-1.95826416,,,,12:53:42:115926
128,-1.746582031,-0.816796875,-1.487884521,0.01730957,0.562255859,-1.946990967,,,,12:53:42:306670
129,1.351806641,-0.821514893,-0.647491455,0.017382813,-0.795532227,-1.954656982,,,,12:53:42:497043
130,0.550292969,-0.82989502,-1.018341064,-0.007794189,0.063552856,-1.965026855,,,,12:53:42:686433
131,2.40977478,-0.83571167,-3.567932129,-0.000543213,-1.591064453,-1.942425537,,,,12:53:42:875969
132,-2.045654297,-0.847235107,-1.687515259,-0.008203125,0.512908936,-1.928759766,,,,12:53:43:057664
